Conference,Winning School,Losing School
America East,Hofstra,Delaware
Atlantic 10,Temple,St. Bonaventure
Atlantic Coast,Duke,Maryland
Big 12,Iowa State,Oklahoma
Big East,St. John's,Connecticut
Big Sky,Northern Arizona,CSU-Northridge
Big South,Winthrop,NC-Asheville
Big Ten,Michigan State,Illinois
Big West,Utah State,New Mexico State
Colonial,NC-Wilmington,Richmond
Conference USA,Saint Louis,DePaul
Metro Atlantic,Iona,Siena
Mid-American,Ball State,Miami (OH)
Mid-Continent,Valparaiso,Southern Utah
Mid-Eastern,South Carolina State,
Midwestern,Butler,Detroit
Missouri Valley,Creighton,SW Missouri State
Mountain West,UNLV,BYU
Northeast,Central Connecticut State,Robert Morris
Ohio Valley,SE Missouri State,Murray State
Patriot,Lafayette,Navy
Southeastern,Arkansas,Auburn
Southern,Appalachian State,College of Charleston
Southland,Lamar,Northwestern State
Southwestern Athletic,Jackson State,
Sun Belt,LA-Lafayette,South Alabama
Trans America,Samford,Central Florida
West Coast,Gonzaga,Pepperdine
Western Athletic,Fresno State,Tulsa
