Conference,Winning School,Losing School
American Athletic Conference,Cincinnati,Houston
Atlantic Coast Conference,Duke,Florida St.
America East Conference,Vermont,UMBC
Atlantic 10 Conference,St. Louis,St. Bonaventure
Atlantic Sun Conference,Liberty,Lipscomb
Big 12 Conference,Iowa St.,Kansas
Big East Conference,Villanova,Seton Hall
Big Sky Conference,Montana,Eastern Wash.
Big South Conference,Gardner-Webb,Radford
Big Ten Conference,Michigan St.,Michigan
Big West Conference,UC-Irvine,Cal St Fullerton
Colonial Athletic Association,Northeastern,Hofstra
Conference USA,Old Dominion,Western Ky.
Horizon League,Northern Ky.,Wright St.
Ivy Group,Yale,Harvard
Metro Atlantic Athletic Conference,Iona,Monmouth
Mid-American Conference,Buffalo,Bowling Green
Mid-Eastern Athletic Conference,N.C. Central,Norfolk St.
Missouri Valley Conference,Bradley,UNI
Mountain West Conference,Utah St.,San Diego St.
Northeast Conference,Fairl. Dickinson,St. Francis (PA)
Ohio Valley Conference,Murray St.,Belmont
Pacific-12 Conference,Oregon,Washington
Patriot League,Colgate,Bucknell
Southeastern Conference,Auburn,Tennessee
Southern Conference,Wofford,UNC Greensboro
Southland Conference,Abilene Christ.,New Orleans
Summit League,North Dakota St.,Omaha
Sun Belt Conference,Georgia St.,Texas-Arlington
Southwest Athletic Conference,Prairie View,Texas Southern
Western Athletic Conference,New Mexico St.,Grand Canyon
West Coast Conference,St. Mary's,Gonzaga
