Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,31,3,88.8,64.6,24.21,,4.06,,19.07,9.19,28.26,125.80,86.42,39.38
2,Duke,ACC,,29,5,83.5,67.6,15.94,,12.25,,18.28,9.91,28.19,121.98,83.08,38.90
3,Virginia,ACC,,29,3,71.8,55.1,16.78,,9.67,,5.12,21.32,26.45,124.98,83.91,41.07
4,North Carolina,ACC,,27,6,86.1,72.9,13.12,,12.03,,20.48,4.67,25.15,120.85,87.04,33.81
5,Michigan State,Big Ten,,29,6,78.7,65.5,13.23,,11.87,,14.16,10.94,25.10,123.12,86.57,36.55
6,Michigan,Big Ten,,29,6,70.5,58.5,12.03,,10.48,,4.69,17.82,22.51,116.02,82.29,33.73
7,Tennessee,SEC,,29,5,81.8,68.6,13.15,,10.31,,14.70,7.79,22.49,123.56,91.41,32.15
8,Kentucky,SEC,,28,6,76.8,64.8,12.00,,10.02,,9.15,12.87,22.02,120.25,87.53,32.73
9,Texas Tech,Big 12,,26,6,73.1,59.3,13.81,,7.69,,5.39,16.11,21.50,114.79,82.66,32.13
10,Purdue,Big Ten,,24,9,75.7,66.2,9.48,,11.59,,10.95,10.12,21.08,121.98,90.74,31.24
11,Auburn,SEC,,27,9,79.5,68.4,11.17,,10.05,,12.51,7.57,20.08,120.20,91.77,28.43
12,Virginia Tech,ACC,,24,8,74.0,62.1,11.91,,7.79,,6.85,12.85,19.69,120.35,90.55,29.80
13,Wisconsin,Big Ten,,23,10,69.1,61.4,7.64,,11.30,,3.15,15.78,18.93,113.11,84.95,28.16
14,Kansas,Big 12,,26,9,75.7,69.6,6.11,,12.62,,10.84,7.90,18.74,115.40,88.60,26.81
15,Iowa State,Big 12,,23,11,77.4,68.3,9.12,,9.16,,10.93,7.35,18.28,120.05,93.26,26.79
16,Houston,AAC,,31,3,75.6,61.2,14.38,,3.79,,6.11,12.06,18.17,115.43,88.77,26.66
17,Florida State,ACC,,28,7,74.9,67.2,7.77,,10.29,,8.99,9.06,18.06,113.82,87.88,25.94
18,Louisville,ACC,,20,14,74.6,68.4,6.24,,11.59,,8.62,9.20,17.82,115.77,90.05,25.71
19,Louisiana State,SEC,,27,6,81.3,73.1,8.24,,8.74,,14.53,2.45,16.98,118.56,94.03,24.54
20,Mississippi State,SEC,,23,10,77.3,70.1,7.21,,9.49,,10.09,6.61,16.71,117.89,93.51,24.38
21,Maryland,Big Ten,,23,10,71.6,65.4,6.15,,10.28,,6.03,10.40,16.44,114.90,90.95,23.95
22,Nevada,MWC,,29,5,80.1,66.8,13.32,,2.91,,9.53,6.71,16.23,114.76,91.90,22.85
23,North Carolina State,ACC,,23,11,79.7,70.5,9.24,,6.74,,12.68,3.30,15.97,114.54,92.70,21.85
24,Florida,SEC,,20,15,68.3,63.6,4.74,,11.20,,1.05,14.90,15.94,112.27,88.75,23.52
25,Kansas State,Big 12,,25,8,65.8,59.2,6.58,,9.26,,-1.50,17.34,15.84,108.92,85.21,23.72
26,Buffalo,MAC (East),,31,3,84.9,70.5,14.41,,1.97,,14.61,1.18,15.79,114.67,93.21,21.46
27,Nebraska,Big Ten,,19,16,71.8,66.7,5.17,,11.55,,6.75,8.91,15.67,114.70,92.55,22.15
28,Texas,Big 12,,17,16,71.0,67.2,3.82,,11.67,,4.84,10.65,15.49,115.31,92.41,22.90
29,Marquette,Big East,,24,10,77.3,69.5,7.82,,7.42,,8.77,6.48,15.25,113.40,91.76,21.64
30,Villanova,Big East,,26,9,74.1,66.8,7.29,,7.92,,5.43,9.78,15.21,117.80,95.42,22.38
31,Oklahoma,Big 12,,19,13,71.2,68.2,2.94,,11.88,,6.49,8.33,14.82,110.36,89.63,20.73
32,Clemson,ACC,,20,13,69.2,64.0,5.24,,9.48,,2.48,12.24,14.72,110.10,88.33,21.77
33,Indiana,Big Ten,,18,15,72.1,67.9,4.15,,10.49,,5.81,8.84,14.64,111.38,90.55,20.83
34,Cincinnati,AAC,,28,6,71.7,62.2,9.50,,5.08,,2.55,12.03,14.58,113.36,91.61,21.75
35,Iowa,Big Ten,,22,11,78.3,73.6,4.67,,9.69,,12.51,1.85,14.35,119.32,98.52,20.80
36,Ohio State,Big Ten,,19,14,69.6,66.2,3.42,,10.86,,3.19,11.10,14.29,111.02,90.44,20.58
37,Wofford,Southern,,30,4,83.0,65.7,17.35,,0.43,,8.23,5.94,14.17,118.95,97.40,21.55
38,Syracuse,ACC,,20,14,69.7,66.1,3.65,,10.51,,3.55,10.60,14.16,111.80,90.69,21.11
39,Texas Christian,Big 12,,21,13,74.3,70.2,4.15,,9.21,,8.24,5.11,13.36,112.54,93.68,18.86
40,Baylor,Big 12,,20,13,71.8,67.2,4.61,,8.63,,5.10,8.13,13.24,114.59,94.88,19.71
41,Mississippi,SEC,,20,12,75.4,70.4,5.03,,8.16,,7.86,5.34,13.20,113.24,93.92,19.32
42,Minnesota,Big Ten,,22,13,71.2,69.4,1.86,,11.22,,6.18,6.90,13.08,112.29,93.40,18.88
43,Penn State,Big Ten,,14,18,69.7,68.6,1.03,,11.93,,4.84,8.12,12.96,110.07,90.67,19.40
44,Saint Mary's (CA),WCC,,22,12,72.4,64.3,8.18,,4.63,,2.26,10.55,12.81,115.36,95.48,19.88
45,Oregon,Pac-12,,23,12,70.5,62.9,7.54,,5.26,,0.19,12.61,12.80,109.12,89.75,19.37
46,Utah State,MWC,,28,6,79.2,66.8,12.38,,0.73,,7.10,5.57,12.67,111.86,93.58,18.28
47,Virginia Commonwealth,A-10,,25,7,71.4,61.6,9.84,,2.66,,1.32,11.19,12.50,104.22,85.73,18.49
48,Central Florida,AAC,,23,8,72.1,64.3,7.84,,4.58,,2.27,10.15,12.41,110.53,92.18,18.34
49,Creighton,Big East,,19,14,78.5,73.4,5.06,,8.76,,9.68,2.73,12.41,114.83,96.95,17.87
50,Arkansas,SEC,,18,15,75.7,72.6,3.15,,8.92,,8.68,3.39,12.07,111.03,93.88,17.15
51,Washington,Pac-12,,26,8,69.8,64.4,5.44,,6.37,,1.19,10.62,11.81,107.94,90.56,17.38
52,Memphis,AAC,,22,13,80.4,74.3,6.11,,4.70,,11.72,-0.91,10.81,110.17,94.91,15.25
53,Seton Hall,Big East,,20,14,73.8,71.9,1.91,,8.80,,6.03,4.68,10.71,109.90,94.04,15.85
54,Arizona State,Pac-12,,23,10,77.7,72.8,4.88,,5.78,,8.24,2.41,10.65,109.49,94.10,15.39
55,Northwestern,Big Ten,,13,19,65.9,65.1,0.81,,9.55,,-0.42,10.79,10.37,104.95,89.74,15.22
56,New Mexico State,WAC,,30,5,78.1,64.5,13.57,,-2.11,,4.06,6.26,10.32,113.26,97.69,15.57
57,Colorado,Pac-12,,22,12,74.0,67.7,6.35,,3.64,,3.54,6.46,9.99,108.20,93.93,14.28
58,Dayton,A-10,,21,12,72.9,66.2,6.76,,3.13,,3.18,6.71,9.89,112.18,97.24,14.94
59,Miami (FL),ACC,,14,18,71.8,71.1,0.69,,9.17,,4.32,5.54,9.86,111.00,96.93,14.07
60,Xavier,Big East,,19,15,72.1,70.4,1.65,,8.21,,3.31,6.54,9.86,112.49,98.02,14.47
61,Murray State,OVC,,28,4,83.3,67.7,15.63,,-3.63,,6.45,3.33,9.78,112.04,97.53,14.52
62,Alabama,SEC,,18,16,72.0,71.6,0.44,,9.24,,4.70,4.98,9.68,108.81,94.97,13.84
63,Butler,Big East,,16,17,71.9,70.8,1.12,,8.56,,4.26,5.42,9.68,112.65,98.46,14.19
64,Illinois,Big Ten,,12,21,72.7,75.2,-2.58,,11.94,,8.04,1.33,9.36,110.72,97.25,13.47
65,Belmont,OVC,,27,6,86.9,73.9,13.00,,-2.43,,11.47,-2.18,9.29,114.91,101.39,13.52
66,Rutgers,Big Ten,,14,17,67.9,68.8,-0.87,,10.16,,2.03,7.26,9.29,106.35,92.80,13.55
67,Fresno State,MWC,,23,9,76.5,67.6,8.94,,0.91,,4.22,5.01,9.23,110.00,96.49,13.51
68,Missouri,SEC,,15,17,67.2,67.8,-0.56,,9.42,,-0.24,9.11,8.86,107.81,94.54,13.27
69,Lipscomb,A-Sun,,26,7,83.6,69.4,14.21,,-2.65,,9.45,-0.68,8.77,110.18,97.40,12.79
70,San Francisco,WCC,,21,10,76.1,67.8,8.29,,1.26,,4.41,4.29,8.70,112.06,98.81,13.26
71,South Carolina,SEC,,16,16,72.7,72.4,0.34,,9.96,,5.79,2.88,8.67,107.22,94.40,12.82
72,Providence,Big East,,18,16,71.4,69.8,1.59,,7.06,,2.50,6.15,8.65,106.17,93.44,12.73
73,Notre Dame,ACC,,14,19,68.7,69.0,-0.30,,8.72,,1.61,6.80,8.42,110.03,97.92,12.11
74,Arizona,Pac-12,,17,15,70.9,68.9,2.00,,6.34,,1.34,7.00,8.34,106.48,94.50,11.98
75,Pittsburgh,ACC,,14,19,69.9,68.7,1.18,,7.16,,1.68,6.66,8.34,105.81,93.93,11.88
76,St. John's (NY),Big East,,21,13,77.1,74.8,2.38,,5.95,,8.01,0.33,8.33,109.96,98.11,11.85
77,Toledo,MAC (West),,25,8,76.9,68.4,8.52,,0.82,,3.93,4.39,8.32,108.94,96.31,12.62
78,Southern California,Pac-12,,16,17,76.3,73.0,3.27,,4.91,,7.42,0.76,8.18,110.16,98.24,11.91
79,Oklahoma State,Big 12,,12,20,68.1,71.5,-3.44,,11.54,,2.58,5.52,8.10,109.60,98.45,11.15
80,Temple,AAC,,23,10,74.7,71.5,3.24,,4.80,,5.45,2.59,8.05,109.29,97.42,11.87
81,Oregon State,Pac-12,,18,13,73.4,69.8,3.55,,4.33,,4.01,3.88,7.88,111.96,100.43,11.53
82,Furman,Southern,,25,8,77.6,66.1,11.52,,-1.23,,2.27,5.47,7.74,107.28,95.67,11.61
